Observation ID,Common Name,Scientific Name,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Country/Region,Habitat Type,Conservation Status
610,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.34,65.2,Subadult,Female,Australia,Gorges,Least Concern
615,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.68,36.8,Juvenile,Male,Australia,Freshwater Rivers,Least Concern
641,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.13,60.4,Adult,Male,Australia,Gorges,Least Concern
650,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,0.8,24.0,Juvenile,Unknown,Australia,Billabongs,Least Concern
699,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.36,69.6,Adult,Male,Australia,Freshwater Rivers,Least Concern
704,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,0.81,24.1,Juvenile,Male,Australia,Billabongs,Least Concern
708,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.72,103.5,Adult,Male,Australia,Billabongs,Least Concern
718,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.26,68.5,Subadult,Female,Australia,Gorges,Least Concern
765,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.18,71.2,Adult,Male,Australia,Freshwater Rivers,Least Concern
795,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.71,87.4,Adult,Male,Australia,Gorges,Least Concern
806,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.07,65.5,Subadult,Female,Australia,Billabongs,Least Concern
887,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.06,49.3,Adult,Male,Australia,Billabongs,Least Concern
893,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.54,78.2,Adult,Male,Australia,Freshwater Rivers,Least Concern
936,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.4,72.3,Adult,Female,Australia,Freshwater Rivers,Least Concern
977,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,1.32,27.3,Juvenile,Male,Australia,Gorges,Least Concern
982,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylus,2.14,57.7,Adult,Female,Australia,Gorges,Least Concern
34,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.01,28.9,Juvenile,Unknown,Philippines,Rivers,Critically Endangered
36,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.26,84.2,Adult,Male,Philippines,Freshwater Marshes,Critically Endangered
83,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.6,47.0,Subadult,Male,Philippines,Freshwater Marshes,Critically Endangered
102,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.27,76.7,Adult,Unknown,Philippines,Freshwater Marshes,Critically Endangered
142,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.94,65.9,Subadult,Unknown,Philippines,Freshwater Marshes,Critically Endangered
195,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.15,70.3,Subadult,Male,Philippines,Freshwater Marshes,Critically Endangered
219,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.03,73.2,Adult,Male,Philippines,Ponds,Critically Endangered
241,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.88,57.7,Subadult,Male,Philippines,Freshwater Marshes,Critically Endangered
254,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,0.38,22.0,Hatchling,Male,Philippines,Ponds,Critically Endangered
262,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.1,59.1,Adult,Male,Philippines,Rivers,Critically Endangered
270,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.31,84.8,Adult,Unknown,Philippines,Rivers,Critically Endangered
283,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.02,71.7,Subadult,Male,Philippines,Ponds,Critically Endangered
297,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.48,104.1,Adult,Female,Philippines,Ponds,Critically Endangered
316,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.67,48.8,Adult,Male,Philippines,Freshwater Marshes,Critically Endangered
322,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.73,45.3,Subadult,Unknown,Philippines,Ponds,Critically Endangered
332,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.57,40.7,Juvenile,Male,Philippines,Rivers,Critically Endangered
371,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.04,65.8,Subadult,Male,Philippines,Rivers,Critically Endangered
373,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.42,33.3,Juvenile,Female,Philippines,Rivers,Critically Endangered
377,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.61,40.4,Subadult,Female,Philippines,Freshwater Marshes,Critically Endangered
399,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.46,34.7,Adult,Female,Philippines,Freshwater Marshes,Critically Endangered
459,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.62,117.5,Adult,Male,Philippines,Rivers,Critically Endangered
494,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.82,56.7,Adult,Male,Philippines,Rivers,Critically Endangered
505,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.74,52.7,Subadult,Male,Philippines,Rivers,Critically Endangered
507,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.45,41.6,Juvenile,Female,Philippines,Freshwater Marshes,Critically Endangered
510,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.25,74.6,Subadult,Female,Philippines,Rivers,Critically Endangered
566,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,0.41,17.5,Hatchling,Female,Philippines,Freshwater Marshes,Critically Endangered
572,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.81,45.5,Subadult,Male,Philippines,Rivers,Critically Endangered
588,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.05,71.9,Subadult,Unknown,Philippines,Rivers,Critically Endangered
599,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.16,25.5,Juvenile,Unknown,Philippines,Freshwater Marshes,Critically Endangered
602,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.08,66.9,Subadult,Unknown,Philippines,Rivers,Critically Endangered
612,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.31,79.3,Adult,Female,Philippines,Freshwater Marshes,Critically Endangered
616,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.3,78.4,Adult,Unknown,Philippines,Rivers,Critically Endangered
621,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.29,84.4,Adult,Unknown,Philippines,Freshwater Marshes,Critically Endangered
624,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.62,38.9,Adult,Female,Philippines,Rivers,Critically Endangered
625,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.0,60.9,Adult,Female,Philippines,Freshwater Marshes,Critically Endangered
628,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.23,87.7,Subadult,Unknown,Philippines,Rivers,Critically Endangered
692,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.3,30.7,Juvenile,Female,Philippines,Freshwater Marshes,Critically Endangered
696,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.68,45.9,Subadult,Female,Philippines,Freshwater Marshes,Critically Endangered
725,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.52,44.6,Adult,Unknown,Philippines,Freshwater Marshes,Critically Endangered
727,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,0.7,20.0,Juvenile,Unknown,Philippines,Rivers,Critically Endangered
737,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.78,53.9,Adult,Female,Philippines,Ponds,Critically Endangered
743,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.32,86.5,Adult,Female,Philippines,Ponds,Critically Endangered
755,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.61,43.5,Adult,Female,Philippines,Ponds,Critically Endangered
761,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.8,44.7,Adult,Unknown,Philippines,Ponds,Critically Endangered
768,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.27,87.5,Subadult,Female,Philippines,Rivers,Critically Endangered
797,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.09,73.8,Subadult,Unknown,Philippines,Freshwater Marshes,Critically Endangered
824,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.33,73.5,Adult,Unknown,Philippines,Freshwater Marshes,Critically Endangered
829,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.48,42.6,Juvenile,Unknown,Philippines,Freshwater Marshes,Critically Endangered
840,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.86,47.5,Subadult,Unknown,Philippines,Rivers,Critically Endangered
857,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.69,51.5,Subadult,Unknown,Philippines,Ponds,Critically Endangered
862,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.94,51.7,Subadult,Female,Philippines,Ponds,Critically Endangered
868,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.68,40.4,Adult,Female,Philippines,Ponds,Critically Endangered
912,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.34,79.4,Adult,Female,Philippines,Ponds,Critically Endangered
918,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.89,49.8,Adult,Female,Philippines,Ponds,Critically Endangered
928,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.27,79.3,Adult,Unknown,Philippines,Freshwater Marshes,Critically Endangered
942,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,1.98,56.1,Subadult,Female,Philippines,Rivers,Critically Endangered
965,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.17,78.2,Subadult,Female,Philippines,Rivers,Critically Endangered
983,Philippine Crocodile,Crocodylus mindorensis,Crocodylus,2.04,69.0,Adult,Male,Philippines,Freshwater Marshes,Critically Endangered
1,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.9,62.0,Adult,Male,Belize,Swamps,Least Concern
4,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.42,90.4,Adult,Male,Mexico,Rivers,Least Concern
10,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,3.39,197.2,Adult,Male,Mexico,Lagoons,Least Concern
12,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.84,60.7,Adult,Male,Belize,Lagoons,Least Concern
16,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.0,67.9,Adult,Unknown,Mexico,Rivers,Least Concern
17,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.98,61.5,Juvenile,Unknown,Mexico,Lagoons,Least Concern
44,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.33,74.0,Adult,Unknown,Mexico,Swamps,Least Concern
45,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.5,90.6,Adult,Male,Guatemala,Lagoons,Least Concern
46,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.52,104.1,Adult,Male,Guatemala,Rivers,Least Concern
77,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.15,75.1,Adult,Female,Guatemala,Rivers,Least Concern
81,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.1,41.1,Juvenile,Female,Guatemala,Rivers,Least Concern
85,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.31,90.9,Adult,Female,Guatemala,Swamps,Least Concern
91,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.51,102.4,Subadult,Unknown,Guatemala,Lagoons,Least Concern
110,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.46,100.2,Subadult,Male,Mexico,Rivers,Least Concern
147,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.42,78.6,Adult,Female,Mexico,Rivers,Least Concern
156,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,0.16,28.2,Hatchling,Unknown,Guatemala,Rivers,Least Concern
163,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.22,74.6,Subadult,Unknown,Belize,Rivers,Least Concern
179,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.79,123.4,Subadult,Unknown,Belize,Rivers,Least Concern
189,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.18,75.2,Adult,Unknown,Belize,Rivers,Least Concern
206,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.83,54.7,Adult,Male,Guatemala,Swamps,Least Concern
224,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.78,100.4,Subadult,Male,Guatemala,Rivers,Least Concern
240,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.9,55.3,Adult,Unknown,Mexico,Swamps,Least Concern
274,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.67,118.9,Adult,Unknown,Mexico,Swamps,Least Concern
300,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.79,101.5,Subadult,Male,Mexico,Swamps,Least Concern
353,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.59,87.1,Subadult,Unknown,Mexico,Rivers,Least Concern
390,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.82,59.0,Adult,Unknown,Mexico,Rivers,Least Concern
410,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.88,60.1,Juvenile,Female,Mexico,Lagoons,Least Concern
433,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.57,101.4,Adult,Male,Mexico,Rivers,Least Concern
467,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.16,65.1,Adult,Male,Belize,Rivers,Least Concern
479,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.82,133.4,Adult,Female,Guatemala,Lagoons,Least Concern
480,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,3.0,129.6,Adult,Female,Mexico,Swamps,Least Concern
527,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,0.79,32.4,Juvenile,Female,Guatemala,Lagoons,Least Concern
537,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.35,87.5,Subadult,Unknown,Guatemala,Rivers,Least Concern
575,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,0.32,34.1,Hatchling,Female,Mexico,Lagoons,Least Concern
583,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.58,87.1,Subadult,Unknown,Guatemala,Swamps,Least Concern
636,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.76,51.2,Adult,Female,Belize,Rivers,Least Concern
642,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.88,141.9,Adult,Male,Belize,Lagoons,Least Concern
643,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.16,73.6,Subadult,Unknown,Guatemala,Rivers,Least Concern
657,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,0.26,34.1,Hatchling,Unknown,Belize,Lagoons,Least Concern
681,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.05,35.0,Juvenile,Unknown,Guatemala,Swamps,Least Concern
682,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,0.17,26.0,Hatchling,Unknown,Mexico,Rivers,Least Concern
697,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.89,134.6,Subadult,Unknown,Guatemala,Swamps,Least Concern
711,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.7,51.7,Adult,Male,Belize,Swamps,Least Concern
730,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.76,115.5,Adult,Unknown,Belize,Swamps,Least Concern
738,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,0.65,34.5,Juvenile,Male,Mexico,Rivers,Least Concern
740,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.43,95.5,Adult,Male,Mexico,Lagoons,Least Concern
752,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.66,120.3,Subadult,Unknown,Mexico,Swamps,Least Concern
767,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.64,117.3,Subadult,Female,Belize,Rivers,Least Concern
772,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.96,132.0,Adult,Unknown,Guatemala,Swamps,Least Concern
810,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.79,115.1,Subadult,Unknown,Belize,Swamps,Least Concern
817,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.81,61.7,Adult,Male,Mexico,Rivers,Least Concern
823,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.56,87.0,Subadult,Male,Belize,Swamps,Least Concern
850,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.52,50.9,Juvenile,Female,Belize,Lagoons,Least Concern
894,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.35,89.8,Subadult,Female,Guatemala,Rivers,Least Concern
903,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,1.76,57.8,Adult,Female,Guatemala,Rivers,Least Concern
914,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.6,105.9,Adult,Male,Belize,Lagoons,Least Concern
916,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.9,126.3,Subadult,Unknown,Guatemala,Swamps,Least Concern
917,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.47,86.4,Adult,Unknown,Mexico,Rivers,Least Concern
949,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,0.6,35.4,Juvenile,Female,Belize,Lagoons,Least Concern
958,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,3.1,143.3,Adult,Unknown,Belize,Lagoons,Least Concern
974,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.41,92.5,Adult,Female,Belize,Swamps,Least Concern
976,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.1,78.2,Subadult,Unknown,Mexico,Rivers,Least Concern
979,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,2.3,80.3,Adult,Unknown,Belize,Rivers,Least Concern
995,Morelet's Crocodile,Crocodylus moreletii,Crocodylus,3.4,159.5,Adult,Female,Guatemala,Rivers,Least Concern
18,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.37,565.0,Adult,Female,Sudan,Reservoirs,Least Concern
22,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.65,759.8,Adult,Male,Tanzania,Lakes,Least Concern
25,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.18,342.1,Juvenile,Male,Kenya,Marshes,Least Concern
42,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.57,387.4,Subadult,Female,South Africa,Marshes,Least Concern
64,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.78,383.2,Adult,Male,Kenya,Lakes,Least Concern
74,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.34,596.2,Subadult,Female,Egypt,Lakes,Least Concern
92,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.32,309.5,Subadult,Unknown,Kenya,Lakes,Least Concern
111,Nile Crocodile,Crocodylus niloticus,Crocodylus,1.77,159.9,Juvenile,Unknown,Tanzania,Lakes,Least Concern
134,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.55,621.4,Adult,Male,Nigeria,Marshes,Least Concern
154,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.13,362.6,Subadult,Male,South Africa,Rivers,Least Concern
168,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.85,479.0,Subadult,Female,Uganda,Rivers,Least Concern
203,Nile Crocodile,Crocodylus niloticus,Crocodylus,0.56,133.9,Hatchling,Female,Uganda,Reservoirs,Least Concern
205,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.62,712.0,Adult,Unknown,South Africa,Lakes,Least Concern
232,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.14,336.8,Subadult,Unknown,Nigeria,Rivers,Least Concern
255,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.56,437.1,Adult,Female,Uganda,Reservoirs,Least Concern
265,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.0,438.8,Subadult,Male,Tanzania,Reservoirs,Least Concern
271,Nile Crocodile,Crocodylus niloticus,Crocodylus,2.68,286.7,Juvenile,Unknown,South Africa,Marshes,Least Concern
273,Nile Crocodile,Crocodylus niloticus,Crocodylus,5.18,848.2,Adult,Unknown,Tanzania,Marshes,Least Concern
298,Nile Crocodile,Crocodylus niloticus,Crocodylus,1.63,169.1,Juvenile,Unknown,South Africa,Marshes,Least Concern
350,Nile Crocodile,Crocodylus niloticus,Crocodylus,2.04,168.7,Juvenile,Male,Kenya,Reservoirs,Least Concern
376,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.1,513.9,Adult,Female,Sudan,Rivers,Least Concern
441,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.91,512.7,Subadult,Female,Kenya,Marshes,Least Concern
471,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.83,461.5,Subadult,Unknown,Egypt,Marshes,Least Concern
483,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.43,334.3,Adult,Female,Sudan,Rivers,Least Concern
484,Nile Crocodile,Crocodylus niloticus,Crocodylus,5.31,998.3,Adult,Male,Kenya,Marshes,Least Concern
518,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.69,379.4,Adult,Male,South Africa,Reservoirs,Least Concern
521,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.78,419.4,Adult,Female,Kenya,Reservoirs,Least Concern
528,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.41,646.1,Adult,Female,Tanzania,Rivers,Least Concern
574,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.35,507.6,Adult,Unknown,Nigeria,Rivers,Least Concern
590,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.37,601.3,Adult,Male,Uganda,Lakes,Least Concern
620,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.69,738.4,Adult,Male,Tanzania,Reservoirs,Least Concern
631,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.39,381.1,Adult,Male,Uganda,Reservoirs,Least Concern
668,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.29,647.7,Adult,Unknown,South Africa,Rivers,Least Concern
669,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.18,571.8,Adult,Unknown,Nigeria,Rivers,Least Concern
695,Nile Crocodile,Crocodylus niloticus,Crocodylus,2.46,198.5,Juvenile,Male,Kenya,Marshes,Least Concern
707,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.59,338.5,Adult,Unknown,South Africa,Marshes,Least Concern
728,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.39,578.9,Subadult,Female,Uganda,Reservoirs,Least Concern
749,Nile Crocodile,Crocodylus niloticus,Crocodylus,2.86,296.2,Juvenile,Female,Sudan,Marshes,Least Concern
825,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.14,515.7,Adult,Unknown,Sudan,Rivers,Least Concern
833,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.38,310.1,Adult,Female,Tanzania,Reservoirs,Least Concern
838,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.22,482.8,Adult,Unknown,Uganda,Marshes,Least Concern
853,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.02,283.5,Juvenile,Male,Nigeria,Reservoirs,Least Concern
856,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.48,604.8,Adult,Male,Tanzania,Lakes,Least Concern
937,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.43,317.9,Adult,Unknown,Tanzania,Marshes,Least Concern
960,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.5,598.5,Subadult,Unknown,Tanzania,Lakes,Least Concern
967,Nile Crocodile,Crocodylus niloticus,Crocodylus,4.68,661.7,Adult,Female,Tanzania,Marshes,Least Concern
971,Nile Crocodile,Crocodylus niloticus,Crocodylus,2.07,202.3,Juvenile,Unknown,Tanzania,Lakes,Least Concern
992,Nile Crocodile,Crocodylus niloticus,Crocodylus,3.13,285.8,Subadult,Male,Egypt,Reservoirs,Least Concern
35,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,0.76,36.7,Juvenile,Unknown,Papua New Guinea,Swamps,Least Concern
50,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.51,87.4,Subadult,Female,Indonesia (Papua),Swamps,Least Concern
55,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.97,120.1,Subadult,Female,Papua New Guinea,Rivers,Least Concern
61,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,3.04,133.9,Adult,Unknown,Indonesia (Papua),Lakes,Least Concern
100,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.21,64.9,Subadult,Unknown,Indonesia (Papua),Swamps,Least Concern
133,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,1.52,39.0,Juvenile,Female,Indonesia (Papua),Swamps,Least Concern
137,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.26,74.0,Adult,Unknown,Indonesia (Papua),Swamps,Least Concern
140,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.82,129.1,Subadult,Unknown,Papua New Guinea,Rivers,Least Concern
153,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,0.88,32.3,Juvenile,Unknown,Indonesia (Papua),Rivers,Least Concern
159,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.21,76.1,Subadult,Unknown,Papua New Guinea,Rivers,Least Concern
172,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.31,88.7,Adult,Female,Papua New Guinea,Rivers,Least Concern
184,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.1,70.3,Adult,Female,Indonesia (Papua),Swamps,Least Concern
198,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.36,83.0,Subadult,Unknown,Papua New Guinea,Swamps,Least Concern
216,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,1.64,42.3,Juvenile,Male,Papua New Guinea,Swamps,Least Concern
221,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,1.2,40.7,Juvenile,Female,Indonesia (Papua),Swamps,Least Concern
230,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.87,128.0,Adult,Male,Indonesia (Papua),Rivers,Least Concern
235,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,1.74,48.3,Juvenile,Female,Papua New Guinea,Rivers,Least Concern
281,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,1.76,48.7,Juvenile,Female,Indonesia (Papua),Rivers,Least Concern
286,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.29,83.8,Subadult,Unknown,Papua New Guinea,Rivers,Least Concern
287,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.89,144.5,Adult,Unknown,Indonesia (Papua),Swamps,Least Concern
311,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.26,83.5,Adult,Unknown,Indonesia (Papua),Rivers,Least Concern
321,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.73,104.6,Adult,Unknown,Indonesia (Papua),Rivers,Least Concern
333,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.33,82.0,Adult,Unknown,Indonesia (Papua),Lakes,Least Concern
340,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,2.59,90.2,Subadult,Male,Indonesia (Papua),Swamps,Least Concern
351,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylus,0.24,32.3,Hatchling,Male,Indonesia (Papua),Swamps,Least Concern
